Group,Speaker,Type,Net_Chars,Total_Edit_Count,Active_Time_Windows,Net_Chars_Calculated,Engagement
Group0,P1,AI,8866.0,29,29,8866.0,295.53333333333336
Group0,P1,NoAI,12793.0,53,53,12793.0,426.43333333333334
Group0,P2,AI,15797.0,53,53,15797.0,526.5666666666667
Group0,P2,NoAI,6195.0,40,40,6195.0,206.5
Group0,P3,AI,2405.0,11,11,2405.0,80.16666666666667
Group0,P3,NoAI,6524.0,17,17,6524.0,217.46666666666667
Group1,P4,AI,15076.0,89,89,15076.0,502.53333333333336
Group1,P4,NoAI,3088.0,92,15,3088.0,102.93333333333334
Group1,P5,AI,0.0,0,0,0.0,0.0
Group1,P5,NoAI,1947.0,12,12,1947.0,64.9
Group1,P6,AI,1005.0,8,8,1005.0,33.5
Group1,P6,NoAI,3338.0,15,15,3338.0,111.26666666666667
Group10,P31,AI,13901.0,20,20,13901.0,463.3666666666667
Group10,P31,NoAI,15861.0,30,30,15861.0,528.7
Group10,P32,AI,8554.0,15,14,8554.0,285.1333333333333
Group10,P32,NoAI,4089.0,10,10,4089.0,136.3
Group10,P33,AI,9394.0,35,35,9394.0,313.1333333333333
Group10,P33,NoAI,15015.0,59,59,15015.0,500.5
Group11,P34,AI,7820.0,52,52,7820.0,260.6666666666667
Group11,P34,NoAI,5781.0,34,34,5781.0,192.7
Group11,P35,AI,2391.0,14,14,2391.0,79.7
Group11,P35,NoAI,4998.0,13,13,4998.0,166.6
Group11,P36,AI,8217.0,13,13,8217.0,273.9
Group11,P36,NoAI,6264.0,18,18,6264.0,208.8
Group2,P7,AI,1751.0,19,19,1751.0,58.36666666666667
Group2,P7,NoAI,23047.0,33,33,23047.0,768.2333333333333
Group2,P8,AI,19967.0,33,33,19967.0,665.5666666666667
Group2,P8,NoAI,893.0,7,7,893.0,29.766666666666666
Group2,P9,AI,19488.0,39,39,19488.0,649.6
Group2,P9,NoAI,31566.0,50,50,31566.0,1052.2
Group3,P10,AI,2056.0,27,27,2056.0,68.53333333333333
Group3,P10,NoAI,878.0,13,13,878.0,29.266666666666666
Group3,P11,AI,2670.0,33,33,2670.0,89.0
Group3,P11,NoAI,9433.0,63,63,9433.0,314.43333333333334
Group3,P12,AI,3495.0,39,39,3495.0,116.5
Group3,P12,NoAI,385.0,6,6,385.0,12.833333333333334
Group4,P13,AI,79.0,5,5,79.0,2.6333333333333333
Group4,P13,NoAI,435.0,17,17,435.0,14.5
Group4,P14,AI,54.0,3,3,54.0,1.8
Group4,P14,NoAI,1221.0,9,9,1221.0,40.7
Group4,P15,AI,2039.0,31,31,2039.0,67.96666666666667
Group4,P15,NoAI,1047.0,9,9,1047.0,34.9
Group5,P16,AI,2929.0,40,40,2929.0,97.63333333333334
Group5,P16,NoAI,7495.0,54,54,7495.0,249.83333333333334
Group5,P17,AI,87.0,1,1,87.0,2.9
Group5,P17,NoAI,425.0,8,8,425.0,14.166666666666666
Group5,P18,AI,333.0,11,11,333.0,11.1
Group5,P18,NoAI,0.0,0,0,0.0,0.0
Group6,P19,AI,2913.0,30,30,2913.0,97.1
Group6,P19,NoAI,6986.0,65,65,6986.0,232.86666666666667
Group6,P20,AI,534.0,16,16,534.0,17.8
Group6,P20,NoAI,1633.0,35,35,1633.0,54.43333333333333
Group6,P21,AI,922.0,23,23,922.0,30.733333333333334
Group6,P21,NoAI,1682.0,34,34,1682.0,56.06666666666667
Group7,P22,AI,810.0,8,8,810.0,27.0
Group7,P22,NoAI,1127.0,11,11,1127.0,37.56666666666667
Group7,P23,AI,3275.0,20,20,3275.0,109.16666666666667
Group7,P23,NoAI,1557.0,6,6,1557.0,51.9
Group7,P24,AI,32178.0,59,59,32178.0,1072.6
Group7,P24,NoAI,14324.0,36,36,14324.0,477.46666666666664
Group8,P25,AI,9262.0,55,55,9262.0,308.73333333333335
Group8,P25,NoAI,3104.0,42,42,3104.0,103.46666666666667
Group8,P26,AI,2749.0,18,18,2749.0,91.63333333333334
Group8,P26,NoAI,180.0,4,4,180.0,6.0
Group8,P27,AI,320.0,7,7,320.0,10.666666666666666
Group8,P27,NoAI,8643.0,64,64,8643.0,288.1
Group9,P28,AI,12178.0,55,55,12178.0,405.93333333333334
Group9,P28,NoAI,7082.0,41,41,7082.0,236.06666666666666
Group9,P29,AI,13518.0,45,45,13518.0,450.6
Group9,P29,NoAI,15586.0,47,47,15586.0,519.5333333333333
Group9,P30,AI,14479.0,56,56,14479.0,482.6333333333333
Group9,P30,NoAI,8648.0,26,26,8648.0,288.26666666666665
