Group,Type,Gini_Coefficient,Member_Count,Total_Net_Chars,Mean_Net_Chars
Group0,AI,0.329835968671494,3,27068.0,9022.666666666666
Group0,NoAI,0.17241559527542594,3,25512.0,8504.0
Group1,AI,0.6250025910494786,3,16081.0,5360.333333333333
Group1,NoAI,0.11075281659301724,3,8373.0,2791.0
Group10,AI,0.11192397458842245,3,31849.0,10616.333333333334
Group10,NoAI,0.22445302445302445,3,34965.0,11655.0
Group11,AI,0.2107662253093119,3,18428.0,6142.666666666667
Group11,NoAI,0.04952179780555067,3,17043.0,5681.0
Group2,AI,0.2947143619861185,3,41206.0,13735.333333333334
Group2,NoAI,0.36840461691829113,3,55506.0,18502.0
Group3,AI,0.11669302193569314,3,8221.0,2740.3333333333335
Group3,NoAI,0.5639491398653702,3,10696.0,3565.3333333333335
Group4,AI,0.6092694904849602,3,2172.0,724.0
Group4,NoAI,0.19385867554568997,3,2703.0,901.0
Group5,AI,0.5657410172190703,3,3349.0,1116.3333333333333
Group5,NoAI,0.6308922558922558,3,7920.0,2640.0
Group6,AI,0.36301213092240786,3,4369.0,1456.3333333333333
Group6,NoAI,0.346438857068893,3,10301.0,3433.6666666666665
Group7,AI,0.5766759506935444,3,36263.0,12087.666666666666
Group7,NoAI,0.5172859830667921,3,17008.0,5669.333333333333
Group8,AI,0.48344281350525775,3,12331.0,4110.333333333333
Group8,NoAI,0.47304435314831894,3,11927.0,3975.6666666666665
Group9,AI,0.0381829495955196,3,40175.0,13391.666666666666
Group9,NoAI,0.18103631796312855,3,31316.0,10438.666666666666
