NO.,Group,Condition,C1,C2,C3,C4,C5,C6,O7,O8,Process Score,Outcome Score,Total Score
1,Group 0,NoAI,0,1,0,1,1,1,1,1,4,2,6
2,Group 0,AI,0,1,0,1,1,1,1,1,4,2,6
3,Group 1,NoAI,0,1,1,1,1,1,1,0,5,1,6
4,Group 1,AI,0,1,0,1,1,1,1,1,4,1,5
5,Group 2,NoAI,0,0,0,1,1,0,1,1,2,2,4
6,Group 2,AI,0,1,0,1,1,1,1,1,4,2,6
7,Group 3,NoAI,0,1,1,1,1,1,1,1,5,2,7
8,Group 3,AI,0,1,1,1,1,1,0,1,5,1,6
9,Group 4,NoAI,0,0,1,1,1,1,1,0,4,1,5
10,Group 4,AI,0,0,1,1,1,1,1,0,4,1,5
11,Group 5,NoAI,0,1,1,1,1,1,1,0,5,1,6
12,Group 5,AI,0,1,1,1,1,1,0,0,5,0,5
13,Group 6,NoAI,1,0,1,0,0,0,1,0,2,1,3
14,Group 6,AI,0,1,1,0,1,0,1,0,3,1,4
15,Group 7,NoAI,0,1,0,1,1,0,1,1,3,2,5
16,Group 7,AI,0,1,1,1,1,1,1,1,5,2,7
17,Group 8,NoAI,0,1,1,1,1,1,0,0,0,0,5
18,Group 8,AI,0,1,1,1,1,1,0,0,0,0,5
19,Group 9,NoAI,0,1,0,1,1,1,1,0,4,1,5
20,Group 9,AI,0,1,0,1,1,0,0,0,3,0,3
21,Group 10,NoAI,0,0,0,0,1,0,0,1,1,1,2
22,Group 10,AI,0,0,0,0,1,1,0,1,2,1,3
23,Group 11,NoAI,0,1,1,1,1,1,0,0,5,0,5
24,Group 11,AI,0,1,0,1,1,1,0,0,4,0,4
