Score,Expert,Scope,count,mean,std,min,25%,50%,75%,max
Process Score,E1,Overall,24.0,3.0,1.6939791077198396,0.0,2.0,3.0,5.0,5.0
Outcome Score,E1,Overall,24.0,0.7083333333333334,0.9078961186825508,0.0,0.0,0.0,2.0,2.0
Total Score,E1,Overall,24.0,3.75,2.3636743688036073,0.0,2.0,3.0,6.0,7.0
Process Score,E1,Condition=AI,12.0,2.75,1.864744681524183,0.0,1.75,2.5,4.25,5.0
Outcome Score,E1,Condition=AI,12.0,0.5833333333333334,0.90033663737852,0.0,0.0,0.0,1.25,2.0
Total Score,E1,Condition=AI,12.0,3.4166666666666665,2.4293034292807376,0.0,1.75,3.0,5.25,7.0
Process Score,E1,Condition=NoAI,12.0,3.25,1.5447859516333116,1.0,2.0,3.0,5.0,5.0
Outcome Score,E1,Condition=NoAI,12.0,0.8333333333333334,0.9374368665610922,0.0,0.0,0.5,2.0,2.0
Total Score,E1,Condition=NoAI,12.0,4.083333333333333,2.3532698077098573,1.0,2.75,3.0,6.25,7.0
Process Score,E2,Overall,24.0,3.4583333333333335,1.5597983890531344,0.0,2.75,4.0,5.0,5.0
Outcome Score,E2,Overall,24.0,1.0416666666666667,0.750603621828092,0.0,0.75,1.0,2.0,2.0
Total Score,E2,Overall,24.0,4.916666666666667,1.2825472842090009,2.0,4.0,5.0,6.0,7.0
Process Score,E2,Condition=AI,12.0,3.5833333333333335,1.443375672974064,0.0,3.0,4.0,4.25,5.0
Outcome Score,E2,Condition=AI,12.0,0.9166666666666666,0.7929614610987591,0.0,0.0,1.0,1.25,2.0
Total Score,E2,Condition=AI,12.0,4.916666666666667,1.2401124093721456,3.0,4.0,5.0,6.0,7.0
Process Score,E2,Condition=NoAI,12.0,3.3333333333333335,1.7232808737106582,0.0,2.0,4.0,5.0,5.0
Outcome Score,E2,Condition=NoAI,12.0,1.1666666666666667,0.7177405625652734,0.0,1.0,1.0,2.0,2.0
Total Score,E2,Condition=NoAI,12.0,4.916666666666667,1.378954368902449,2.0,4.75,5.0,6.0,7.0
