Group,CV_AI,CV_NoAI,Diff
Group0,0.21728313578693045,0.2502881762914344,-0.03300504050450395
Group1,0.5506402157721692,0.8819434064770367,-0.3313031907048676
Group10,0.8661169201652762,0.5466224518508449,0.3194944683144313
Group11,0.6886138238274644,0.7137490131003295,-0.025135189272865066
Group2,0.05943520961591612,0.8660573830036808,-0.8066221733877648
Group3,0.8449934303996876,0.5801210783604271,0.2648723520392604
Group4,0.5787435457098838,0.6915926437782404,-0.11284909806835652
Group5,0.48143776942537087,0.14520593025431433,0.33623183917105653
Group6,0.5780419478065503,0.44828649570311613,0.12975545210343414
Group7,0.19140173031694646,0.7468500035668398,-0.5554482732498933
Group8,0.8728815143959665,0.6248859697507108,0.24799554464525575
Group9,0.5057163241962783,0.8674131320514005,-0.36169680785512215
