Group,Gini_AI,Gini_NoAI,Diff
Group0,0.09574297188755028,0.1034482758620688,-0.007705303974518518
Group1,0.21547306586676682,0.3742384682332462,-0.15876540236647937
Group10,0.33613121080559577,0.2339289858435832,0.10220222496201256
Group11,0.3060498220640569,0.29428523546170604,0.011764586602350857
Group2,0.024181279525982664,0.3349872199669222,-0.31080594044093957
Group3,0.33990747504261015,0.2575477510782502,0.08235972396435998
Group4,0.25086625086625086,0.26619413270328796,-0.015327881837037094
Group5,0.21359458151910982,0.06090266449157141,0.1526919170275384
Group6,0.23467316280958173,0.17457044673539515,0.060102716074186574
Group7,0.0850500537767851,0.312532773990561,-0.2274827202137759
Group8,0.35759745425616557,0.27039177906229933,0.08720567519386624
Group9,0.2230828814872193,0.34423251589464127,-0.12114963440742196
