Group,Type,Gini,CV,n_members
Group0,AI,0.09574297188755028,0.21728313578693045,3
Group0,NoAI,0.1034482758620688,0.2502881762914344,3
Group1,AI,0.21547306586676682,0.5506402157721692,3
Group1,NoAI,0.3742384682332462,0.8819434064770367,3
Group10,AI,0.33613121080559577,0.8661169201652762,3
Group10,NoAI,0.2339289858435832,0.5466224518508449,3
Group11,AI,0.3060498220640569,0.6886138238274644,3
Group11,NoAI,0.29428523546170604,0.7137490131003295,3
Group2,AI,0.024181279525982664,0.05943520961591612,3
Group2,NoAI,0.3349872199669222,0.8660573830036808,3
Group3,AI,0.33990747504261015,0.8449934303996876,3
Group3,NoAI,0.2575477510782502,0.5801210783604271,3
Group4,AI,0.25086625086625086,0.5787435457098838,3
Group4,NoAI,0.26619413270328796,0.6915926437782404,3
Group5,AI,0.21359458151910982,0.48143776942537087,3
Group5,NoAI,0.06090266449157141,0.14520593025431433,3
Group6,AI,0.23467316280958173,0.5780419478065503,3
Group6,NoAI,0.17457044673539515,0.44828649570311613,3
Group7,AI,0.0850500537767851,0.19140173031694646,3
Group7,NoAI,0.312532773990561,0.7468500035668398,3
Group8,AI,0.35759745425616557,0.8728815143959665,3
Group8,NoAI,0.27039177906229933,0.6248859697507108,3
Group9,AI,0.2230828814872193,0.5057163241962783,3
Group9,NoAI,0.34423251589464127,0.8674131320514005,3
