Group,GroupMean_AI,GroupMean_NoAI,Diff
Group0,23.055555555555554,27.71111111111111,-4.655555555555555
Group1,29.633333333333336,17.022222222222222,12.611111111111114
Group10,38.38888888888889,47.87777777777777,-9.48888888888888
Group11,12.488888888888889,22.099999999999998,-9.611111111111109
Group2,46.25555555555555,24.633333333333336,21.622222222222216
Group3,15.21111111111111,12.022222222222224,3.1888888888888864
Group4,5.344444444444444,18.811111111111114,-13.466666666666669
Group5,30.622222222222224,20.433333333333334,10.18888888888889
Group6,9.122222222222222,5.388888888888889,3.7333333333333325
Group7,44.76666666666667,21.188888888888886,23.577777777777786
Group8,18.62222222222222,11.533333333333333,7.088888888888887
Group9,14.344444444444443,8.155555555555557,6.188888888888886
