,AI组,AI组,AI组,NoAI组,NoAI组,NoAI组,差值(AI-NoAI),差值(AI-NoAI),差值(AI-NoAI)
,ai_total,ai_count,ai_gini,noai_total,noai_count,noai_gini,diff_total,diff_count,diff_gini
count,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
mean,869.5266666666668,46.333333333333336,0.19275,905.3933333333334,47.916666666666664,0.26408333333333334,-35.8666666666667,-1.5833333333333333,-0.07133333333333333
std,352.7998034768916,13.865151432365398,0.09326416538764792,389.85180352943286,18.927893478016816,0.07919992921637485,138.32949769782775,9.149846827663128,0.10881956152134124
min,296.18,20.0,0.036,425.72,19.0,0.162,-219.7600000000001,-14.0,-0.22300000000000003
25%,576.3225,36.5,0.1485,498.0725,33.25,0.21425,-128.245,-7.5,-0.16425
50%,990.8399999999999,46.0,0.173,1012.415,47.5,0.244,-39.6400000000001,-2.0,-0.06699999999999999
75%,1066.83,57.75,0.24175000000000002,1205.2875,59.25,0.28225,14.682500000000019,2.25,-0.004750000000000011
max,1452.28,65.0,0.351,1474.13,79.0,0.411,265.8399999999999,21.0,0.09400000000000003
