group_id,ai_total,noai_total,ai_count,noai_count,ai_gini,noai_gini,diff_total,diff_count,diff_gini
Group0,553.98,509.44,35,41,0.168,0.242,44.54000000000002,-6,-0.07399999999999998
Group1,1270.51,1265.78,57,66,0.105,0.259,4.730000000000018,-9,-0.15400000000000003
Group2,412.65,425.72,37,35,0.123,0.203,-13.07000000000005,2,-0.08000000000000002
Group3,1452.28,1474.13,63,73,0.274,0.218,-21.850000000000136,-10,0.05600000000000002
Group4,1072.35,1195.09,54,55,0.343,0.249,-122.74000000000001,-1,0.09400000000000003
Group5,1016.12,1235.88,65,79,0.231,0.162,-219.7600000000001,-14,0.069
Group6,1002.65,1187.74,33,28,0.351,0.411,-185.09000000000003,5,-0.06
Group7,729.81,463.97,40,19,0.179,0.233,265.8399999999999,21,-0.05400000000000002
Group8,1064.99,1178.97,47,47,0.036,0.246,-113.98000000000002,0,-0.21
Group9,583.77,641.2,60,57,0.174,0.199,-57.430000000000064,3,-0.025000000000000022
Group10,296.18,440.94,20,27,0.172,0.395,-144.76,-7,-0.22300000000000003
Group11,979.03,845.86,45,48,0.157,0.352,133.16999999999996,-3,-0.19499999999999998
