group_id,diff_total,diff_count,diff_gini
Group0,44.54000000000002,-6,-0.07399999999999998
Group1,4.730000000000018,-9,-0.15400000000000003
Group2,-13.07000000000005,2,-0.08000000000000002
Group3,-21.850000000000136,-10,0.05600000000000002
Group4,-122.74000000000001,-1,0.09400000000000003
Group5,-219.7600000000001,-14,0.069
Group6,-185.09000000000003,5,-0.06
Group7,265.8399999999999,21,-0.05400000000000002
Group8,-113.98000000000002,0,-0.21
Group9,-57.430000000000064,3,-0.025000000000000022
Group10,-144.76,-7,-0.22300000000000003
Group11,133.16999999999996,-3,-0.19499999999999998
