Group,MemberID,AI_Total_Frames_posture,NoAI_Total_Frames_posture,AI_Mean_Level_posture,NoAI_Mean_Level_posture,AI_Total_Frames_gaze,NoAI_Total_Frames_gaze,AI_Mean_Level_gaze,NoAI_Mean_Level_gaze
G0,P1,165,168,2.212,2.006,165,168,2.939,3.0
G0,P2,165,168,2.248,2.006,165,168,2.982,2.952
G0,P3,165,168,2.461,2.089,165,168,2.915,2.964
G1,P4,182,206,2.022,1.864,182,206,2.879,2.976
G1,P5,182,206,2.0,1.806,182,206,3.0,2.825
G1,P6,182,206,2.016,1.985,182,206,3.0,2.869
G2,P7,168,180,2.0,2.0,168,180,3.0,3.0
G2,P8,168,180,1.917,2.0,168,180,2.988,2.983
G2,P9,168,180,2.0,2.0,168,180,3.0,2.994
G3,P10,175,178,2.011,1.978,175,178,3.0,3.0
G3,P11,175,178,2.0,1.983,175,178,3.0,3.0
G3,P12,175,178,2.0,1.983,175,178,3.0,2.994
G4,P13,158,186,1.759,1.661,158,186,3.0,3.0
G4,P14,158,186,1.994,1.731,158,186,3.0,3.0
G4,P15,158,186,1.962,1.957,158,186,3.0,3.0
G5,P16,174,159,1.931,1.289,174,159,3.0,3.0
G5,P17,174,159,2.0,2.0,174,159,3.0,2.987
G5,P18,174,159,2.0,1.591,174,159,2.989,2.987
G6,P19,174,187,2.0,2.0,174,187,3.0,3.0
G6,P20,174,187,2.0,2.0,174,187,3.0,2.797
G6,P21,174,187,1.96,2.0,174,187,2.977,2.936
G7,P22,183,147,1.913,1.558,183,147,2.989,2.755
G7,P23,183,147,1.978,2.0,183,147,2.803,1.973
G7,P24,183,147,1.984,1.959,183,147,2.989,2.946
G8,P25,171,180,1.842,2.05,171,180,3.0,3.0
G8,P26,171,180,2.0,1.972,171,180,3.0,3.0
G8,P27,171,180,2.006,1.983,171,180,3.0,2.967
G9,P28,180,178,2.061,1.966,180,178,2.956,2.961
G9,P29,180,178,1.878,1.713,180,178,2.967,2.876
G9,P30,180,178,2.028,2.028,180,178,2.989,2.921
Ga,P31,187,168,2.107,2.173,187,168,3.0,3.0
Ga,P32,187,168,2.118,2.202,187,168,2.941,2.982
Ga,P33,187,168,2.316,2.47,187,168,2.963,2.964
Gb,P34,180,183,2.1,2.224,180,183,2.989,3.0
Gb,P35,180,183,1.967,2.038,180,183,2.989,2.989
Gb,P36,180,183,1.817,1.923,180,183,2.972,2.858
