Group,group_name,Participant,MemberID,Condition,Posture_Mean,Gaze_Mean,Total_Frames_Posture,Total_Frames_Gaze
G0,G01,P1-1,P1,NoAI,2.005952380952381,3.0,168,168
G0,G02,P1-2,P1,AI,2.212121212121212,2.9393939393939394,165,165
G0,G01,P2-1,P2,NoAI,2.005952380952381,2.9523809523809526,168,168
G0,G02,P2-2,P2,AI,2.2484848484848485,2.981818181818182,165,165
G0,G01,P3-1,P3,NoAI,2.0892857142857144,2.9642857142857144,168,168
G0,G02,P3-2,P3,AI,2.4606060606060605,2.915151515151515,165,165
G1,G11,P4-1,P4,AI,2.021978021978022,2.879120879120879,182,182
G1,G12,P4-2,P4,NoAI,1.8640776699029127,2.9757281553398056,206,206
G1,G11,P5-1,P5,AI,2.0,3.0,182,182
G1,G12,P5-2,P5,NoAI,1.8058252427184467,2.825242718446602,206,206
G1,G11,P6-1,P6,AI,2.0164835164835164,3.0,182,182
G1,G12,P6-2,P6,NoAI,1.9854368932038835,2.8689320388349513,206,206
G2,G21,P7-1,P7,NoAI,2.0,3.0,180,180
G2,G22,P7-2,P7,AI,2.0,3.0,168,168
G2,G21,P8-1,P8,NoAI,2.0,2.9833333333333334,180,180
G2,G22,P8-2,P8,AI,1.9166666666666667,2.988095238095238,168,168
G2,G21,P9-1,P9,NoAI,2.0,2.9944444444444445,180,180
G2,G22,P9-2,P9,AI,2.0,3.0,168,168
G3,G31,P10-1,P10,AI,2.0114285714285716,3.0,175,175
G3,G32,P10-2,P10,NoAI,1.9775280898876404,3.0,178,178
G3,G31,P11-1,P11,AI,2.0,3.0,175,175
G3,G32,P11-2,P11,NoAI,1.9831460674157304,3.0,178,178
G3,G31,P12-1,P12,AI,2.0,3.0,175,175
G3,G32,P12-2,P12,NoAI,1.9831460674157304,2.99438202247191,178,178
G4,G41,P13-1,P13,NoAI,1.6612903225806452,3.0,186,186
G4,G42,P13-2,P13,AI,1.759493670886076,3.0,158,158
G4,G41,P14-1,P14,NoAI,1.7311827956989247,3.0,186,186
G4,G42,P14-2,P14,AI,1.9936708860759493,3.0,158,158
G4,G41,P15-1,P15,NoAI,1.956989247311828,3.0,186,186
G4,G42,P15-2,P15,AI,1.9620253164556962,3.0,158,158
G5,G51,P16-1,P16,AI,1.9310344827586208,3.0,174,174
G5,G52,P16-2,P16,NoAI,1.2893081761006289,3.0,159,159
G5,G51,P17-1,P17,AI,2.0,3.0,174,174
G5,G52,P17-2,P17,NoAI,2.0,2.9874213836477987,159,159
G5,G51,P18-1,P18,AI,2.0,2.9885057471264367,174,174
G5,G52,P18-2,P18,NoAI,1.5911949685534592,2.9874213836477987,159,159
G6,G61,P19-1,P19,NoAI,2.0,3.0,187,187
G6,G62,P19-2,P19,AI,2.0,3.0,174,174
G6,G61,P20-1,P20,NoAI,2.0,2.7967914438502675,187,187
G6,G62,P20-2,P20,AI,2.0,3.0,174,174
G6,G61,P21-1,P21,NoAI,2.0,2.935828877005348,187,187
G6,G62,P21-2,P21,AI,1.9597701149425288,2.9770114942528734,174,174
G7,G71,P22-1,P22,AI,1.9125683060109289,2.989071038251366,183,183
G7,G72,P22-2,P22,NoAI,1.5578231292517006,2.7551020408163267,147,147
G7,G71,P23-1,P23,AI,1.9781420765027322,2.80327868852459,183,183
G7,G72,P23-2,P23,NoAI,2.0,1.9727891156462585,147,147
G7,G71,P24-1,P24,AI,1.9836065573770492,2.989071038251366,183,183
G7,G72,P24-2,P24,NoAI,1.9591836734693877,2.945578231292517,147,147
G8,G81,P25-1,P25,NoAI,2.05,3.0,180,180
G8,G82,P25-2,P25,AI,1.8421052631578947,3.0,171,171
G8,G81,P26-1,P26,NoAI,1.9722222222222223,3.0,180,180
G8,G82,P26-2,P26,AI,2.0,3.0,171,171
G8,G81,P27-1,P27,NoAI,1.9833333333333334,2.966666666666667,180,180
G8,G82,P27-2,P27,AI,2.0058479532163744,3.0,171,171
G9,G91,P28-1,P28,AI,2.061111111111111,2.9555555555555557,180,180
G9,G92,P28-2,P28,NoAI,1.9662921348314606,2.960674157303371,178,178
G9,G91,P29-1,P29,AI,1.8777777777777778,2.966666666666667,180,180
G9,G92,P29-2,P29,NoAI,1.7134831460674158,2.8764044943820224,178,178
G9,G91,P30-1,P30,AI,2.0277777777777777,2.988888888888889,180,180
G9,G92,P30-2,P30,NoAI,2.0280898876404496,2.9213483146067416,178,178
Ga,Ga1,P31-1,P31,NoAI,2.1726190476190474,3.0,168,168
Ga,Ga2,P31-2,P31,AI,2.106951871657754,3.0,187,187
Ga,Ga1,P32-1,P32,NoAI,2.2023809523809526,2.982142857142857,168,168
Ga,Ga2,P32-2,P32,AI,2.1176470588235294,2.9411764705882355,187,187
Ga,Ga1,P33-1,P33,NoAI,2.4702380952380953,2.9642857142857144,168,168
Ga,Ga2,P33-2,P33,AI,2.3155080213903743,2.962566844919786,187,187
Gb,Gb1,P34-1,P34,AI,2.1,2.988888888888889,180,180
Gb,Gb2,P34-2,P34,NoAI,2.2240437158469946,3.0,183,183
Gb,Gb1,P35-1,P35,AI,1.9666666666666666,2.988888888888889,180,180
Gb,Gb2,P35-2,P35,NoAI,2.0382513661202184,2.989071038251366,183,183
Gb,Gb1,P36-1,P36,AI,1.8166666666666667,2.9722222222222223,180,180
Gb,Gb2,P36-2,P36,NoAI,1.9234972677595628,2.8579234972677594,183,183
